original_term,code,standardized_term,iteration_0,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70
"['coagulopathy', 'hypercoagulability', 'Hypercoagulopathy']",4295287,Hypercoagulability state,Clinical finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state,Hypercoagulability state
"['Smoking', 'smoking']",4298794,Smoker,Clinical finding,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Smoker
['pregnancy'],4299535,Pregnancy,Clinical finding,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy,Pregnancy
['neurosurgery'],4301351,Surgical procedure,Procedure,Procedure,Procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure
['Glycemic control'],4301936,Blood glucose management,Procedure,Procedure,Procedure,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management,Blood glucose management
['infectious endocarditis'],43020873,Acute infective endocarditis,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Heart disease,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis,Acute infective endocarditis
['Dietary salt restriction'],4304917,Low sodium diet,Clinical finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Dietary finding,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet,Low sodium diet
"['death', 'Death', 'Mortality', 'death (all causes)', 'mortality']",4306655,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death,Death
"['atherosclerosis (measured by low ABI)', 'atherosclerosis/thrombosis', 'large artery atherosclerosis', 'atherosclerosis', 'Atherosclerosis']",4306703,Atherosclerosis,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Vascular sclerosis,Vascular sclerosis,Vascular sclerosis,Vascular sclerosis,Vascular sclerosis,Vascular sclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Arteriosclerosis,Atherosclerosis,Atherosclerosis,Atherosclerosis,Atherosclerosis,Atherosclerosis,Atherosclerosis,Atherosclerosis
"['immobility', 'mobility', 'immobility before stroke']",4306934,Impaired mobility,Clinical finding,Functional finding,Functional finding,Functional finding,Functional finding,Functional finding,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility,Impaired mobility
['social isolation'],4309238,Social isolation,Clinical finding,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation,Social isolation
"['Recurrent Stroke', 'Stroke', 'Ischemic stroke', 'First Ischemic Stroke', 'first stroke', 'second ischemic stroke occurence', 'ischemic stroke', '1. stroke incidence', 'second stroke', 'first ischemic stroke', 'TOAST (etiology)', 'FIRST ISCHEMIC STROKE', 'second ischemic stroke', 'first-ever ischemic stroke occurence']",4310996,Ischemic stroke,Clinical finding,Disease,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke,Ischemic stroke
['infection'],432250,Infectious disease,Clinical finding,Disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease,Infectious disease
"['aging', 'ageing', 'Age', 'age']",4322978,Age factor,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor,Age factor
['psychotherapy'],4327941,Psychotherapy,Procedure,Procedure,Procedure,Regimes and therapies,Regimes and therapies,Regimes and therapies,Regimes and therapies,Regimes and therapies,Regimes and therapies,Regimes and therapies,Regimes and therapies,Regimes and therapies,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy
"['blood lipids', 'Hyperlipidemia', 'hyperlipidemia']",432867,Hyperlipidemia,Clinical finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding above reference range,Measurement finding above reference range,Measurement finding above reference range,Measurement finding above reference range,Measurement finding above reference range,Measurement finding above reference range,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia
['pain'],4329041,Pain,Clinical finding,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
['spasticity'],4329728,Spasticity,Clinical finding,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity,Spasticity
"['Myocardial Infarction', 'myocardial infarction', 'occurence of myocardial infarction']",4329847,Myocardial infarction,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Heart disease,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction
"['Heavy Alcohol Consumption', 'high drinking levels']",4336673,Heavy drinker,Clinical finding,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker,Heavy drinker
"['Obesity', 'obesity']",433736,Obesity,Clinical finding,Disease,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity,Obesity
['systemic inflammation'],434821,Systemic inflammatory response syndrome,Clinical finding,Disease,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Inflammatory disorder,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome,Systemic inflammatory response syndrome
