Author,Exposure,Outcome,Direction,Strength,ID,Status
"Hering, 2015",Sympathetic nervous system structure - Increased,Thrombosis,Increase,0.51,16,Final
Redline et al 2011,Obstructive sleep apnea syndrome,Essential hypertension,Increase,0.51,16,Final
Redline et al 2011,Obstructive sleep apnea syndrome,Insulin resistance,Increase,2.68,16,Final
Redline et al 2011,Obstructive sleep apnea syndrome,Inflammation,Increase,1.4,16,Final
,Stress - Psychogenic,Tobacco smoking behavior - finding,Increase,2.68,16,Final
,Insulin resistance,Prediabetes,Increase,2.68,16,Final
Fonville et al. 2014,Prediabetes,Diabetes mellitus,Increase,2.68,16,Final
,Essential hypertension,Dissection of artery,Increase,2.68,16,Final
,Tobacco smoking behavior - finding,Essential hypertension,Increase,2.68,16,Final
American Heart Association 2014,Antihypertensive therapy,Essential hypertension,Decrease,4.61,16,Final
American Heart Association 2014,Administration of prophylactic statin,Dyslipidemia,Decrease,4.61,16,Final
Hansson 2006,Administration of prophylactic statin,Inflammation,Decrease,3.44,16,Final
Kernan et al 2002,Weight loss,Insulin resistance,Decrease,3.44,16,Final
American Heart Association 2014,Decreased sodium diet,Essential hypertension,Decrease,3.44,16,Final
American Heart Association 2014,Weight loss,Exercise,Increase,2.68,16,Final
American Heart Association 2014,Healthy diet,Body mass index,Decrease,2.68,16,Final
American Heart Association 2014,Blood glucose management,Diabetes mellitus,Decrease,2.68,16,Final
Kernan et al 2002,Thiazolidinedione,Dyslipidemia,Decrease,2.25,16,Final
Kernan et al 2002,Thiazolidinedione,Essential hypertension,Decrease,2.25,16,Final
Kernan et al 2002,Thiazolidinedione,Insulin resistance,Decrease,2.25,16,Final
American Diabetes Association 2020,Sodium glucose cotransporter subtype 2 inhibitor,Diabetes mellitus,Decrease,2.25,16,Final
American Diabetes Association 2020,Glucagon-like peptide 1 receptor agonist,Diabetes mellitus,Decrease,2.25,16,Final
American Heart Association 2014,Continuous positive airway pressure ventilation treatment,Obstructive sleep apnea syndrome,Decrease,2.25,16,Final
American Heart Association 2014,Smoking cessation behavior,Tobacco smoking behavior - finding,Decrease,2.25,16,Final
American Heart Association 2014,Carotid artery structure - Revascularization - action,Atherosclerosis,Decrease,3.07,16,Final
American Heart Association 2014,Platelet aggregation inhibitor therapy,Thrombosis,Decrease,3.0,16,Final
American Heart Association 2014,Use of anticoagulation,Embolism,Decrease,3.07,16,Final
American Heart Association 2014,Platelet aggregation inhibitor therapy,Dissection of artery,Decrease,2.68,16,Final
American Heart Association 2014,Use of anticoagulation,Dissection of artery,Decrease,2.68,16,Final
American Heart Association 2014,Use of anticoagulation,Hypercoagulability state,Decrease,2.68,16,Final
Harrison internal medicine 2020,Administration of prophylactic statin,Thrombosis,Decrease,2.68,16,Final
Harrison internal medicine 2020,Administration of prophylactic statin,Essential hypertension,Decrease,2.68,16,Final
Sundell 2008 & mostofsky 2016,Alcohol intake within recommended daily limit,Atherosclerosis,Decrease,2.0,16,Final
Sundell 2008 & mostofsky 2016,Alcohol intake exceeds recommended daily limit,Essential hypertension,Increase,2.0,16,Final
Sundell 2008 & mostofsky 2016,Alcohol intake exceeds recommended daily limit,Heart disease,Increase,2.0,16,Final
Sundell 2008 & mostofsky 2016,Alcohol intake exceeds recommended daily limit,Atrial fibrillation,Increase,2.0,16,Final
Sundell 2008 & mostofsky 2016,Alcohol intake exceeds recommended daily limit,Thrombosis,Increase,2.0,16,Final
American Heart Association 2014,Decreased alcohol consumption,Alcohol intake exceeds recommended daily limit,Decrease,2.0,16,Final
,Ischemic stroke,Sequela of cerebrovascular accident - Neurologic,Increase,2.68,16,Final
,Ischemic stroke,Death,Increase,2.68,16,Final
,Ischemic stroke,Ischemic stroke,Increase,2.68,16,Final
Dirnagl Review,Ischemic stroke,Inflammation - Brain structure,Increase,6.0,17,Draft
Dirnagl Review,Inflammation - Systemic,Ischemic stroke,Increase,6.84,17,Draft
Meisel Review NEJM/Nature,Ischemic stroke,Immune system finding - Peripheral,Decrease,6.84,17,Draft
,Ischemic stroke,Infarct - Large,Increase,6.84,19,Draft
,Ischemic stroke,Pneumonia,Increase,6.84,19,Draft
,Infarct - Large,Pneumonia,Increase,6.84,19,Draft
,Pneumonia,Death,Increase,6.84,19,Draft
,Ischemic stroke,Death,Increase,6.84,19,Draft
,Ischemic stroke,Ischemic stroke,Increase,6.84,19,Draft
,Ischemic stroke,Pneumonia,Increase,6.84,19,Draft
,Ischemic stroke,Death,Increase,6.84,19,Draft
,Ischemic stroke,Depressive disorder,Increase,6.84,19,Draft
,Depressive disorder,Immobility syndrome,Increase,6.84,19,Draft
,Immobility syndrome,Pneumonia,Increase,6.84,19,Draft
,Ischemic stroke,Immobility syndrome,Increase,6.84,19,Draft
,Immobility syndrome,Death,Increase,6.84,19,Draft
,Ischemic stroke,Cognitive function finding,Decrease,6.84,19,Draft
,Pneumonia,Cognitive function finding,Decrease,5.1,19,Draft
,Cognitive function finding,Death,Decrease,2.79,19,Draft
,Ischemic stroke,Cognitive function finding,Decrease,2.79,19,Draft
,Essential hypertension,Ischemic stroke,Increase,6.84,19,Draft
,Essential hypertension,Ischemic stroke,Increase,6.84,19,Draft
,Essential hypertension,Cognitive function finding,Decrease,5.31,19,Draft
,Ischemic stroke,Infarct - Localization - action,Increase,6.84,19,Draft
,Infarct - Localization - action,Cognitive function finding,Decrease,6.84,19,Draft
,Infarct - Localization - action,Immunosuppression,Increase,6.84,19,Draft
,Immunosuppression,Pneumonia,Increase,6.84,19,Draft
,Immunosuppression,Cognitive function finding,Increase,0.51,19,Draft
,Diabetes mellitus,Ischemic stroke,Increase,6.84,19,Draft
,Diabetes mellitus,Ischemic stroke,Increase,6.84,19,Draft
,Diabetes mellitus,Cognitive function finding,Decrease,4.61,19,Draft
,Ischemic stroke,Spasticity,Increase,6.84,19,Draft
,Ischemic stroke,Spasticity,Increase,6.84,19,Draft
,Spasticity,Immobility syndrome,Increase,6.84,19,Draft
,Spasticity,Pain,Increase,6.84,19,Draft
,Pain,Immobility syndrome,Increase,6.84,19,Draft
,Male,Infarct - Large,Decrease,4.8,19,Draft
,Depressive disorder,Male,Decrease,4.8,19,Draft
,Infarct - Large,Disability - severe,Increase,6.84,19,Draft
,Disability - severe,Immobility syndrome,Increase,6.84,19,Draft
,Ischemic stroke,Dysphagia,Increase,6.84,19,Draft
,Ischemic stroke,Dysphagia,Increase,6.84,19,Draft
,Dysphagia,Pneumonia,Increase,6.84,19,Draft
,Dysphagia,Nutritional disorder,Increase,6.84,19,Draft
,Ischemic stroke,Cachexia,Increase,4.8,19,Draft
,Ischemic stroke,Cachexia,Increase,4.34,19,Draft
,Nutritional disorder,Cachexia,Increase,6.84,19,Draft
,Cachexia,Death,Increase,4.8,19,Draft
,Nutritional disorder,Death,Increase,3.14,19,Draft
,Immobility syndrome,Quality of life satisfaction,Decrease,6.84,19,Draft
,Spasticity,Quality of life satisfaction,Decrease,6.84,19,Draft
,Dysphagia,Quality of life satisfaction,Decrease,6.84,19,Draft
,Pain,Quality of life satisfaction,Decrease,6.84,19,Draft
,Cognitive function finding,Quality of life satisfaction,Increase,6.84,19,Draft
,Ischemic stroke,Quality of life satisfaction,Decrease,6.84,19,Draft
,Ischemic stroke,Quality of life satisfaction,Decrease,6.84,19,Draft
,Ischemic stroke,Aphasia,Increase,6.84,19,Draft
,Ischemic stroke,Aphasia,Increase,6.84,19,Draft
,Aphasia,Quality of life satisfaction,Decrease,6.84,19,Draft
,Age factor,Ischemic stroke,Increase,6.84,19,Draft
,Age factor,Cognitive function finding,Decrease,6.84,19,Draft
,Age factor,Pneumonia,Increase,6.84,19,Draft
,Immobility syndrome,Ischemic stroke,Increase,6.0,19,Draft
,Immobility syndrome,Ischemic stroke,Increase,6.0,19,Draft
,Depressive disorder,Ischemic stroke,Increase,6.84,19,Draft
,Pneumonia,Antibiotic,Increase,6.84,19,Draft
,Antibiotic,Death,Decrease,6.84,19,Draft
,Depressive disorder,Antidepressant,Increase,6.84,19,Draft
,Antidepressant,Quality of life satisfaction,Increase,4.26,19,Draft
,Speech therapy,Aphasia,Decrease,6.84,19,Draft
,Psychotherapy,Depressive disorder,Decrease,6.84,19,Draft
,Psychotherapy,Cognitive function finding,Increase,2.38,19,Draft
,Physical therapy procedure,Immobility syndrome,Decrease,6.84,19,Draft
,Physical therapy procedure,Disability - severe,Decrease,6.84,19,Draft
,Social worker,Quality of life satisfaction,Increase,6.84,19,Draft
,Secondary prevention,Ischemic stroke,Decrease,6.84,19,Draft
,Primary prevention,Ischemic stroke,Decrease,6.84,19,Draft
,Exercise,Ischemic stroke,Decrease,6.84,19,Draft
,Exercise,Ischemic stroke,Decrease,6.84,19,Draft
,Exercise,Cognitive function finding,Increase,6.84,19,Draft
,Care provision regime,Death,Decrease,4.08,19,Draft
,Social worker,Care provision regime,Increase,3.07,19,Draft
,Pain management,Pain,Decrease,6.84,19,Draft
,Clostridium botulinum toxin,Spasticity,Decrease,6.84,19,Draft
,Cognitive skills training,Cognitive function finding,Increase,5.0,19,Draft
Christoph,Essential hypertension,Ischemic stroke,Increase,6.84,20,Draft
Christoph,Essential hypertension,Ischemic stroke,Increase,6.84,20,Draft
Christoph,Ischemic stroke,Ischemic stroke,Increase,6.84,20,Draft
Christoph,Ischemic stroke,Death,Increase,6.84,20,Draft
Christoph,Ischemic stroke,Death,Increase,6.84,20,Draft
Christoph,Age factor,Assessment for rehabilitation,Decrease,6.84,20,Draft
Christoph,Age factor,Death,Increase,6.84,20,Draft
Christoph,Age factor,Ischemic stroke,Increase,6.84,20,Draft
Christoph,Age factor,Ischemic stroke,Increase,6.84,20,Draft
Christoph,Ischemic stroke,Assessment for rehabilitation,Decrease,6.84,20,Draft
,Ischemic stroke,Assessment for rehabilitation,Decrease,2.68,20,Draft
,B lymphocyte - Infiltration,Cognitive function finding,Decrease,2.68,20,Draft
,Age factor,Cognitive function finding,Decrease,6.84,20,Draft
,Essential hypertension,Cognitive function finding,Decrease,4.08,20,Draft
,Ischemic stroke,Cognitive function finding,Decrease,2.06,20,Draft
,Ischemic stroke,Cognitive function finding,Decrease,6.84,20,Draft
,Interleukin-6 - Systemic,Assessment for rehabilitation,Decrease,6.0,20,Draft
,Interleukin-6 - Brain structure,Assessment for rehabilitation,Increase,6.0,20,Draft
,Interleukin-6 - Systemic,Ischemic stroke,Increase,6.84,20,Draft
,Interleukin-6 - Systemic,Ischemic stroke,Increase,6.84,20,Draft
,Interleukin-6 - Systemic,Ischemic stroke,Increase,6.84,20,Draft
,Vessel giving collaterals,Stroke volume,Increase,6.84,20,Draft
,Ischemic stroke,Atrophy - Hemispheric,Increase,6.84,20,Draft
,Ischemic stroke,Atrophy - Hemispheric,Increase,6.84,20,Draft
,Essential hypertension,Atrophy - Hemispheric,Increase,3.68,20,Draft
,Age factor,Atrophy - Hemispheric,Increase,6.84,20,Draft
,Structure of endothelium tissue - Proliferation,Assessment for rehabilitation,Increase,6.84,20,Draft
,Structure of endothelium tissue - Proliferation,Blood-brain barrier - Disruption,Decrease,6.84,20,Draft
,Blood-brain barrier - Disruption,B lymphocyte - Infiltration,Increase,6.84,20,Draft
,Microgliocyte - Proliferation,Neuron - Survival rate,Decrease,6.84,20,Draft
,Interleukin-6 - Brain structure,Assessment for rehabilitation,Decrease,2.68,20,Draft
,Astrocyte - Proliferation,Assessment for rehabilitation,Increase,2.68,20,Draft
,Astrocyte - Proliferation,Neuron - Survival rate,Increase,2.68,20,Draft
,Structure of endothelium tissue - Proliferation,Neuron - Survival rate,Increase,5.2,20,Draft
,Vessel giving collaterals,Ischemic stroke,Decrease,5.2,20,Draft
,Vessel giving collaterals,Ischemic stroke,Decrease,5.2,20,Draft
