Author,Exposure,Outcome,Direction,Strength,ID,Status,Exposure_Standardized,Outcome_Standardized
"Kernan et al., 2014 (AHA/ASA Guideline)",sleep apnea,first ischemic stroke,Increase,5.76,10,Final,Sleep apnea,Ischemic stroke_1.0
"Kernan et al., 2014 (AHA/ASA Guideline)",sleep apnea,second ischemic stroke,Increase,5.76,10,Final,Sleep apnea,Ischemic stroke_2.0
"Kernan et al., 2014 (AHA/ASA Guideline)",obesity,sleep apnea,Increase,3.29,10,Final,Obesity,Sleep apnea
"Kernan et al., 2014 (AHA/ASA Guideline)",anticoagulation,first ischemic stroke,Decrease,6.84,10,Final,Anticoagulant therapy,Ischemic stroke_1.0
,anticoagulation,second ischemic stroke,Decrease,6.84,10,Final,Anticoagulant therapy,Ischemic stroke_2.0
Kernan et al. 2014 (for some patients patients with atrial fibrillation and some patients with thrombophilia),low socioeconomic status,death (all causes),Decrease,4.43,10,Final,Economic status,Death
Kernan et al. 2014 (for patients patients with atrial fibrillation and some patients with thrombophilia),post stroke epilepsy,death (all causes),Increase,6.26,10,Final,Epilepsy due to cerebrovascular accident,Death
"Vivanco-Hidalgo et al., 2019",arterial hypertension,second ischemic stroke,Increase,6.0,10,Final,Hypertensive disorder,Ischemic stroke_2.0
Arrich et al. 2005,arterial hypertension,atherosclerosis,Increase,5.53,10,Final,Hypertensive disorder,Atherosclerosis
Burneo et al. 2009,female sex,oral contraceptives,Increase,4.52,10,Final,Male,Uses oral contraception
"Khanevsky et al., 2019",female sex,depression,Increase,4.52,10,Final,Male,Depressive disorder_2.0
,female sex,first ischemic stroke,Decrease,4.43,10,Final,Male,Ischemic stroke_1.0
,female sex,second ischemic stroke,Decrease,4.43,10,Final,Male,Ischemic stroke_2.0
Bushnell et al. 2014,female sex,migraine with aura,Increase,4.43,10,Final,Male,Migraine with aura
Bushnell et al. 2014,migraine with aura,first ischemic stroke,Increase,4.43,10,Final,Migraine with aura,Ischemic stroke_1.0
Bushnell et al. 2014,migraine with aura,second ischemic stroke,Increase,3.84,10,Final,Migraine with aura,Ischemic stroke_2.0
Bushnell et al. 2014,female sex,arterial hypertension,Increase,3.84,10,Final,Male,Hypertensive disorder
Bushnell et al. 2014,oral contraceptives,second ischemic stroke,Increase,4.08,10,Final,Uses oral contraception,Ischemic stroke_2.0
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",second ischemic stroke,Increase,4.08,10,Final,Pre-eclampsia,Ischemic stroke_2.0
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",second ischemic stroke,Increase,4.08,10,Final,Hypertension complicating pregnancy,Ischemic stroke_2.0
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",second ischemic stroke,Increase,4.08,10,Final,Gestational diabetes mellitus complicating pregnancy,Ischemic stroke_2.0
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",first ischemic stroke,Increase,4.08,10,Final,Pre-eclampsia,Ischemic stroke_1.0
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",first ischemic stroke,Increase,4.08,10,Final,Hypertension complicating pregnancy,Ischemic stroke_1.0
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",first ischemic stroke,Increase,4.08,10,Final,Gestational diabetes mellitus complicating pregnancy,Ischemic stroke_1.0
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",arterial hypertension,Increase,4.08,10,Final,Pre-eclampsia,Hypertensive disorder
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",arterial hypertension,Increase,4.08,10,Final,Hypertension complicating pregnancy,Hypertensive disorder
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",arterial hypertension,Increase,4.08,10,Final,Gestational diabetes mellitus complicating pregnancy,Hypertensive disorder
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",Diabetes mellitus,Increase,4.08,10,Final,Pre-eclampsia,Diabetes mellitus
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",Diabetes mellitus,Increase,4.08,10,Final,Hypertension complicating pregnancy,Diabetes mellitus
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",Diabetes mellitus,Increase,4.08,10,Final,Gestational diabetes mellitus complicating pregnancy,Diabetes mellitus
Bushnell et al. 2014,female sex,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",Increase,6.84,10,Final,Male,Pre-eclampsia
Bushnell et al. 2014,female sex,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",Increase,6.84,10,Final,Male,Hypertension complicating pregnancy
Bushnell et al. 2014,female sex,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",Increase,6.84,10,Final,Male,Gestational diabetes mellitus complicating pregnancy
Bushnell et al. 2014,moderate physical activity,obesity,Decrease,6.84,10,Final,Exercises regularly,Obesity
Bushnell et al. 2014,healthy (mediterranean) diet,obesity,Decrease,6.84,10,Final,Mediterranean diet,Obesity
Bushnell et al. 2014,stroke severity (e.g. measured by NIHSS),death (all causes),Increase,6.84,10,Final,Assessment using National Institutes of Health stroke scale,Death
,first ischemic stroke,death (all causes),Increase,6.26,10,Final,Ischemic stroke_1.0,Death
,second ischemic stroke,death (all causes),Increase,6.26,10,Final,Ischemic stroke_2.0,Death
,depression,death (all causes),Increase,5.53,10,Final,Depressive disorder_2.0,Death
"Khanevski et al., 2019",moderate physical activity,migraine with aura,Decrease,4.17,10,Final,Exercises regularly,Migraine with aura
"Khanevski et al., 2019",healthy (mediterranean) diet,death (all causes),Decrease,5.42,10,Final,Mediterranean diet,Death
,obesity,death (all causes),Increase,5.42,10,Final,Obesity,Death
,Smoking,death (all causes),Increase,5.42,10,Final,Smoker,Death
"Bushnell et al., 2014",moderate physical activity,death (all causes),Decrease,5.42,10,Final,Exercises regularly,Death
"Bushnell et al., 2014",atrial fibrillation,death (all causes),Increase,5.42,10,Final,Atrial fibrillation,Death
"Bushnell et al., 2014",atrial fibrillation,stroke severity (e.g. measured by NIHSS),Increase,6.84,10,Final,Atrial fibrillation,Assessment using National Institutes of Health stroke scale
"Bushnell et al., 2014",atrial fibrillation,anticoagulation,Increase,6.84,10,Final,Atrial fibrillation,Anticoagulant therapy
"Goldstein et al., 2011",atherosclerosis,antiplatelet therapy (e.g. ASS),Increase,6.84,10,Final,Atherosclerosis,Platelet aggregation inhibitor therapy
"Goldstein et al., 2011",stenoses of cerebral vessels,antiplatelet therapy (e.g. ASS),Increase,6.84,10,Final,Stenosis,Platelet aggregation inhibitor therapy
,Smoking,atherosclerosis,Increase,6.84,10,Final,Smoker,Atherosclerosis
,Smoking,stenoses of cerebral vessels,Increase,6.84,10,Final,Smoker,Stenosis
,sleep apnea,arterial hypertension,Increase,4.52,10,Final,Sleep apnea,Hypertensive disorder
,Diabetes mellitus,arterial hypertension,Increase,4.52,10,Final,Diabetes mellitus,Hypertensive disorder
,low socioeconomic status,Smoking,Decrease,4.0,10,Final,Economic status,Smoker
,low socioeconomic status,arterial hypertension,Decrease,4.08,10,Final,Economic status,Hypertensive disorder
,low socioeconomic status,healthy (mediterranean) diet,Increase,4.08,10,Final,Economic status,Mediterranean diet
Marshall et al. 2015,low socioeconomic status,moderate physical activity,Increase,4.08,10,Final,Economic status,Exercises regularly
Marshall et al. 2015,low socioeconomic status,first ischemic stroke,Decrease,4.08,10,Final,Economic status,Ischemic stroke_1.0
Marshall et al. 2015,low socioeconomic status,second ischemic stroke,Decrease,4.08,10,Final,Economic status,Ischemic stroke_2.0
Marshall et al. 2015,low socioeconomic status,depression,Decrease,5.53,10,Final,Economic status,Depressive disorder_2.0
Marshall et al. 2015,cortical involvement or strategical localisation of stroke lesion,functional outcome (e.g. measured by mRS),Increase,5.53,10,Final,Lesion of brain,Assessment using Modified Rankin Scale
Marshall et al. 2015,cortical involvement or strategical localisation of stroke lesion,post stroke epilepsy,Increase,5.53,10,Final,Lesion of brain,Epilepsy due to cerebrovascular accident
Lorant et al. 2013,second ischemic stroke,functional outcome (e.g. measured by mRS),Increase,5.0,10,Final,Ischemic stroke_2.0,Assessment using Modified Rankin Scale
"Asplund et al, Stroke 2009",age,first ischemic stroke,Increase,6.0,11,Final,Age factor,Ischemic stroke_1.0
40:2319-2326,male sex,first ischemic stroke,Increase,5.0,11,Final,Male,Ischemic stroke_1.0
"Bushnell et al., JCBF2018",hypertension,first ischemic stroke,Increase,5.0,11,Final,Hypertensive disorder,Ischemic stroke_1.0
38: 2179–2191)postmenopausal vs premenopausal,metabolic syndrom,first ischemic stroke,Increase,6.0,11,Final,Metabolic syndrome X,Ischemic stroke_1.0
"Cipolla et al., JCBF2018",inflammation,first ischemic stroke,Increase,6.0,11,Final,Inflammation of specific body structures or tissue,Ischemic stroke_1.0
38:2129-2149,inflammation,blood-brain barrier breakdown,Decrease,6.0,11,Final,Inflammation of specific body structures or tissue,Blood-brain barrier
"includes diabetes, hyperlipoproteinemia, obesity (Sol M Rodriguez-Colon, stroke 2009",blood-brain barrier breakdown,first ischemic stroke,Decrease,6.0,11,Final,Blood-brain barrier,Ischemic stroke_1.0
40:200-205),metabolic syndrom,white matter hyperintensities (MRI),Increase,6.0,11,Final,Metabolic syndrome X,Leuko-araiosis
"Bernardo-Castro et al., Front Neurol 2020",white matter hyperintensities (MRI),first ischemic stroke,Increase,6.0,11,Final,Leuko-araiosis,Ischemic stroke_1.0
doi: 10.3389/fneur.2020.594672,exercise,first ischemic stroke,Decrease,0.51,11,Final,Exercises regularly,Ischemic stroke_1.0
"Bernardo-Castro et al., Front Neurol 2020",exercise,metabolic syndrom,Decrease,0.51,11,Final,Exercises regularly,Metabolic syndrome X
doi: 10.3389/fneur.2020.594672,exercise,hypertension,Decrease,0.51,11,Final,Exercises regularly,Hypertensive disorder
"Bernardo-Catro et al., 2020",hypertension,white matter hyperintensities (MRI),Increase,4.8,11,Final,Hypertensive disorder,Leuko-araiosis
"Frey et al, Front Neurol 2019",smoking,first ischemic stroke,Increase,5.31,11,Final,Smoker,Ischemic stroke_1.0
doi: 10.3389/fneur.2019.00238,smoking,white matter hyperintensities (MRI),Increase,5.0,11,Final,Smoker,Leuko-araiosis
"Ryu et al., Brain 2017 doi: 10.1093/brain/aww259",atherosclerosis,white matter hyperintensities (MRI),Increase,6.0,11,Final,Atherosclerosis,Leuko-araiosis
,metabolic syndrom,atherosclerosis,Increase,6.0,11,Final,Metabolic syndrome X,Atherosclerosis
,atherosclerosis/thrombosis,first ischemic stroke,Increase,6.0,11,Final,Thrombosis,Ischemic stroke_1.0
,atherosclerosis/thrombosis,first ischemic stroke,Increase,6.0,11,Final,Atherosclerosis,Ischemic stroke_1.0
,cardiac dysfunction,first ischemic stroke,Increase,6.0,11,Final,Disorder of cardiac function,Ischemic stroke_1.0
120 versus 135 systolic blood pressure,cardiac dysfunction,white matter hyperintensities (MRI),Increase,6.54,11,Final,Disorder of cardiac function,Leuko-araiosis
,atherosclerosis,vessel stenosis/occlusion,Increase,6.0,11,Final,Atherosclerosis,Complete obstruction
,atherosclerosis,vessel stenosis/occlusion,Increase,6.0,11,Final,Atherosclerosis,Stenosis
"Power et al., Neurology 2015",vessel stenosis/occlusion,white matter hyperintensities (MRI),Increase,6.13,11,Final,Complete obstruction,Leuko-araiosis
"Power et al., Neurology 2015",vessel stenosis/occlusion,white matter hyperintensities (MRI),Increase,6.13,11,Final,Stenosis,Leuko-araiosis
84:841-848,vessel stenosis/occlusion,first ischemic stroke,Increase,6.0,11,Final,Complete obstruction,Ischemic stroke_1.0
84:841-848,vessel stenosis/occlusion,first ischemic stroke,Increase,6.0,11,Final,Stenosis,Ischemic stroke_1.0
,atherosclerosis,vulnerable plaques,Increase,3.0,11,Final,Atherosclerosis,Complicated atheromatous plaque
"Sun et al., Sci Rep 2016 doi: 10.1038/srep33246",vulnerable plaques,first ischemic stroke,Increase,6.0,11,Final,Complicated atheromatous plaque,Ischemic stroke_1.0
"Famakin et al., Stroke 2009 doi: 10.1161/STROKEAHA.108.546150",vulnerable plaques,white matter hyperintensities (MRI),Increase,6.84,11,Final,Complicated atheromatous plaque,Leuko-araiosis
"myocardial infarction, coronary heart disease, cardiac failure Folsom et al., Stroke 2013",endarterectomy,vulnerable plaques,Decrease,1.0,11,Final,Endarterectomy,Complicated atheromatous plaque
44:961-967,endarterectomy,vessel stenosis/occlusion,Decrease,2.0,11,Final,Endarterectomy,Complete obstruction
44:961-967,endarterectomy,vessel stenosis/occlusion,Decrease,2.0,11,Final,Endarterectomy,Stenosis
"myocardial infarction, coronary heart disease, cardiac failure",kidney function,first ischemic stroke,Increase,3.0,11,Final,Finding of renal function,Ischemic stroke_1.0
"Hoshino et al., Jama Neurol 2018 doi: 10.1001/jamaneurol.2017.3960",kidney function,white matter hyperintensities (MRI),Increase,5.0,11,Final,Finding of renal function,Leuko-araiosis
,metabolic syndrom,kidney function,Increase,6.0,11,Final,Metabolic syndrome X,Finding of renal function
"Adams et al., Stroke 1993",enlarged perivascular spaces,first ischemic stroke,Increase,4.0,11,Final,Metadata,Ischemic stroke_1.0
24:35-41,microbleeds,white matter hyperintensities (MRI),Increase,6.0,11,Final,Silent micro-hemorrhage of brain,Leuko-araiosis
,preeclampsia/eclampsia,first ischemic stroke,Increase,6.84,11,Final,Pre-eclampsia,Ischemic stroke_1.0
,preeclampsia/eclampsia,first ischemic stroke,Increase,6.84,11,Final,Eclampsia,Ischemic stroke_1.0
"Kassem et al., Ann Transl Med 2020 doi: 10.21037/atm-2020-cass-16",race,first ischemic stroke,Increase,6.68,11,Final,Racial group,Ischemic stroke_1.0
,preeclampsia/eclampsia,hypertension,Increase,6.0,11,Final,Pre-eclampsia,Hypertensive disorder
,preeclampsia/eclampsia,hypertension,Increase,6.0,11,Final,Eclampsia,Hypertensive disorder
"Cochrane Database Syst Rev. 2020, doi: 10.1002/14651858.CD000515.pub",genetic factors,first ischemic stroke,Increase,5.53,11,Final,Genetic predisposition,Ischemic stroke_1.0
,inflammation,white matter hyperintensities (MRI),Increase,6.13,11,Final,Inflammation of specific body structures or tissue,Leuko-araiosis
"Kelley et al., Stroke 2020 doi: 10.1161/STROKEAHA.120.030045",infection,first ischemic stroke,Increase,5.2,11,Final,Infectious disease,Ischemic stroke_1.0
"Kim et al., Sci Rep 2019 doi: 10.1038/s41598-019-45109-y",infection,inflammation,Increase,5.42,11,Final,Infectious disease,Inflammation of specific body structures or tissue
,inflammation,coagulopathy,Increase,5.42,11,Final,Inflammation of specific body structures or tissue,Hypercoagulability state
"Ballerini et al., Neuroimage Clin 2020 doi: 10.1016/j.nicl.2019.102120",coagulopathy,first ischemic stroke,Increase,6.84,11,Final,Hypercoagulability state,Ischemic stroke_1.0
,first ischemic stroke,second ischemic stroke,Increase,6.39,13,Draft,Ischemic stroke_1.0,Ischemic stroke_2.0
,atherosclerosis,first ischemic stroke,Increase,5.0,13,Draft,Atherosclerosis,Ischemic stroke_1.0
,atherosclerosis,second ischemic stroke,Increase,5.0,13,Draft,Atherosclerosis,Ischemic stroke_2.0
,atrial fibrillation,second ischemic stroke,Increase,4.26,13,Draft,Atrial fibrillation,Ischemic stroke_2.0
,atrial fibrillation,first ischemic stroke,Increase,4.26,13,Draft,Atrial fibrillation,Ischemic stroke_1.0
,cancer,first ischemic stroke,Increase,4.08,13,Draft,Malignant neoplastic disease,Ischemic stroke_1.0
,vaskulitis,first ischemic stroke,Increase,5.2,13,Draft,Vasculitis,Ischemic stroke_1.0
,vaskulitis,second ischemic stroke,Increase,5.2,13,Draft,Vasculitis,Ischemic stroke_2.0
,cancer,second ischemic stroke,Increase,5.2,13,Draft,Malignant neoplastic disease,Ischemic stroke_2.0
,chemotherapy,first ischemic stroke,Increase,5.2,13,Draft,Chemotherapy,Ischemic stroke_1.0
,chemotherapy,second ischemic stroke,Increase,5.2,13,Draft,Chemotherapy,Ischemic stroke_2.0
,cancer,chemotherapy,Increase,5.2,13,Draft,Malignant neoplastic disease,Chemotherapy
,sinus venous thrombosis,first ischemic stroke,Increase,5.2,13,Draft,Cerebral venous sinus thrombosis,Ischemic stroke_1.0
,sinus venous thrombosis,second ischemic stroke,Increase,5.2,13,Draft,Cerebral venous sinus thrombosis,Ischemic stroke_2.0
,age,second ischemic stroke,Increase,5.2,13,Draft,Age factor,Ischemic stroke_2.0
,age,first ischemic stroke,Increase,5.2,13,Draft,Age factor,Ischemic stroke_1.0
,age,atherosclerosis,Increase,5.2,13,Draft,Age factor,Atherosclerosis
,smoking,atherosclerosis,Increase,5.2,13,Draft,Smoker,Atherosclerosis
,smoking,first ischemic stroke,Increase,5.2,13,Draft,Smoker,Ischemic stroke_1.0
,smoking,second ischemic stroke,Increase,5.2,13,Draft,Smoker,Ischemic stroke_2.0
,dyslipidemia,second ischemic stroke,Increase,5.2,13,Draft,Dyslipidemia,Ischemic stroke_2.0
,dyslipidemia,first ischemic stroke,Increase,5.2,13,Draft,Dyslipidemia,Ischemic stroke_1.0
,dyslipidemia,atherosclerosis,Increase,5.2,13,Draft,Dyslipidemia,Atherosclerosis
,diabetes,atherosclerosis,Increase,5.2,13,Draft,Diabetes mellitus,Atherosclerosis
,diabetes,first ischemic stroke,Increase,5.2,13,Draft,Diabetes mellitus,Ischemic stroke_1.0
,diabetes,second ischemic stroke,Increase,5.2,13,Draft,Diabetes mellitus,Ischemic stroke_2.0
,age,atrial fibrillation,Increase,4.08,13,Draft,Age factor,Atrial fibrillation
,age,cancer,Increase,4.08,13,Draft,Age factor,Malignant neoplastic disease
,female gender,sinus venous thrombosis,Increase,4.08,13,Draft,Male,Cerebral venous sinus thrombosis
,male gender,first ischemic stroke,Increase,4.08,13,Draft,Male,Ischemic stroke_1.0
,male gender,second ischemic stroke,Increase,4.08,13,Draft,Male,Ischemic stroke_2.0
,pregnancy,sinus venous thrombosis,Increase,4.08,13,Draft,Pregnancy,Cerebral venous sinus thrombosis
,female gender,pregnancy,Increase,6.84,13,Draft,Male,Pregnancy
,first ischemic stroke,disability,Increase,6.84,13,Draft,Ischemic stroke_1.0,Disability
,second ischemic stroke,disability,Increase,6.84,13,Draft,Ischemic stroke_2.0,Disability
,cancer,disability,Increase,6.84,13,Draft,Malignant neoplastic disease,Disability
,vaskulitis,disability,Increase,6.84,13,Draft,Vasculitis,Disability
,diabetes,disability,Increase,6.84,13,Draft,Diabetes mellitus,Disability
,arterial hypertension,atherosclerosis,Increase,5.1,13,Draft,Hypertensive disorder,Atherosclerosis
,arterial hypertension,first ischemic stroke,Increase,5.1,13,Draft,Hypertensive disorder,Ischemic stroke_1.0
,arterial hypertension,second ischemic stroke,Increase,5.1,13,Draft,Hypertensive disorder,Ischemic stroke_2.0
,arterial hypertension,disability,Increase,5.1,13,Draft,Hypertensive disorder,Disability
,age,arterial hypertension,Increase,5.1,13,Draft,Age factor,Hypertensive disorder
,smoking,arterial hypertension,Increase,5.1,13,Draft,Smoker,Hypertensive disorder
,pregnancy,diabetes,Increase,5.1,13,Draft,Pregnancy,Diabetes mellitus
,first ischemic stroke,depression,Increase,5.1,13,Draft,Ischemic stroke_1.0,Depressive disorder_2.0
,second ischemic stroke,depression,Increase,5.1,13,Draft,Ischemic stroke_2.0,Depressive disorder_2.0
,cancer,depression,Increase,5.1,13,Draft,Malignant neoplastic disease,Depressive disorder_2.0
,first ischemic stroke,cognitive decline,Increase,5.1,13,Draft,Ischemic stroke_1.0,Impaired cognition
,second ischemic stroke,cognitive decline,Increase,5.1,13,Draft,Ischemic stroke_2.0,Impaired cognition
,second ischemic stroke,qualitiy of life,Decrease,5.1,13,Draft,Ischemic stroke_2.0,Quality of life satisfaction
,first ischemic stroke,qualitiy of life,Decrease,5.1,13,Draft,Ischemic stroke_1.0,Quality of life satisfaction
,depression,qualitiy of life,Decrease,5.1,13,Draft,Depressive disorder_2.0,Quality of life satisfaction
,diabetes,qualitiy of life,Decrease,5.1,13,Draft,Diabetes mellitus,Quality of life satisfaction
,vaskulitis,qualitiy of life,Decrease,5.1,13,Draft,Vasculitis,Quality of life satisfaction
,disability,qualitiy of life,Decrease,5.1,13,Draft,Disability,Quality of life satisfaction
,pregnancy,depression,Increase,5.1,13,Draft,Pregnancy,Depressive disorder_2.0
,first ischemic stroke,mobility,Increase,5.1,13,Draft,Ischemic stroke_1.0,Impaired mobility
,second ischemic stroke,mobility,Increase,2.65,13,Draft,Ischemic stroke_2.0,Impaired mobility
,disability,mobility,Increase,2.65,13,Draft,Disability,Impaired mobility
,depression,mobility,Increase,2.65,13,Draft,Depressive disorder_2.0,Impaired mobility
,cancer,qualitiy of life,Decrease,2.65,13,Draft,Malignant neoplastic disease,Quality of life satisfaction
,age,mobility,Increase,3.0,13,Draft,Age factor,Impaired mobility
,pregnancy,mobility,Increase,0.57,13,Draft,Pregnancy,Impaired mobility
,endocarditis,first ischemic stroke,Increase,0.57,13,Draft,Endocarditis,Ischemic stroke_1.0
,endocarditis,second ischemic stroke,Increase,0.57,13,Draft,Endocarditis,Ischemic stroke_2.0
,endocarditis,second ischemic stroke,Increase,5.1,13,Draft,Endocarditis,Ischemic stroke_2.0
,endocarditis,disability,Increase,5.1,13,Draft,Endocarditis,Disability
,persistent foramen ovale,first ischemic stroke,Increase,5.64,13,Draft,Patent foramen ovale,Ischemic stroke_1.0
,persistent foramen ovale,second ischemic stroke,Increase,5.64,13,Draft,Patent foramen ovale,Ischemic stroke_2.0
,hypercoagulability,first ischemic stroke,Increase,4.61,13,Draft,Hypercoagulability state,Ischemic stroke_1.0
,hypercoagulability,second ischemic stroke,Increase,4.61,13,Draft,Hypercoagulability state,Ischemic stroke_2.0
,hypercoagulability,sinus venous thrombosis,Increase,4.61,13,Draft,Hypercoagulability state,Cerebral venous sinus thrombosis
,cancer,hypercoagulability,Increase,4.61,13,Draft,Malignant neoplastic disease,Hypercoagulability state
,pregnancy,hypercoagulability,Increase,4.61,13,Draft,Pregnancy,Hypercoagulability state
,smoking,hypercoagulability,Increase,3.0,13,Draft,Smoker,Hypercoagulability state
,malformations,first ischemic stroke,Increase,1.4,13,Draft,Congenital malformation,Ischemic stroke_1.0
,malformations,second ischemic stroke,Increase,1.4,13,Draft,Congenital malformation,Ischemic stroke_2.0
,endovascular interventions,first ischemic stroke,Increase,5.88,13,Draft,Percutaneous transluminal procedure on blood vessel,Ischemic stroke_1.0
,endovascular interventions,second ischemic stroke,Increase,5.88,13,Draft,Percutaneous transluminal procedure on blood vessel,Ischemic stroke_2.0
,atherosclerosis,endovascular interventions,Increase,5.88,13,Draft,Atherosclerosis,Percutaneous transluminal procedure on blood vessel
,endocarditis,endovascular interventions,Increase,1.69,13,Draft,Endocarditis,Percutaneous transluminal procedure on blood vessel
,pregnancy,chemotherapy,Decrease,3.14,13,Draft,Pregnancy,Chemotherapy
,neurosurgery,first ischemic stroke,Increase,3.14,13,Draft,Surgical procedure,Ischemic stroke_1.0
,neurosurgery,second ischemic stroke,Increase,4.34,13,Draft,Surgical procedure,Ischemic stroke_2.0
,cancer,neurosurgery,Increase,4.34,13,Draft,Malignant neoplastic disease,Surgical procedure
,malformations,neurosurgery,Increase,3.14,13,Draft,Congenital malformation,Surgical procedure
,migraine,ischemic stroke,Increase,4.17,14,Draft,Migraine,Ischemic stroke
,migraine,smoking,Decrease,4.52,14,Draft,Migraine,Smoker
,obesity,ischemic stroke,Increase,6.0,14,Draft,Obesity,Ischemic stroke
,hypertension,large artery atherosclerosis,Increase,6.0,14,Draft,Hypertensive disorder,Atherosclerosis
,obesity,hypertension,Increase,6.84,14,Draft,Obesity,Hypertensive disorder
,low blood pressure,decreased systemic perfusion,Increase,6.84,14,Draft,Low blood pressure,Organ or tissue vascular perfusion decreased
,heart failure,decreased systemic perfusion,Increase,6.84,14,Draft,Heart failure,Organ or tissue vascular perfusion decreased
,loss of blood,decreased systemic perfusion,Increase,6.84,14,Draft,Bleeding,Organ or tissue vascular perfusion decreased
,reduction or complete blockage of blood flow,ischemic stroke,Increase,6.84,14,Draft,Decreased vascular flow,Ischemic stroke
,decreased systemic perfusion,reduction or complete blockage of blood flow,Increase,6.84,14,Draft,Organ or tissue vascular perfusion decreased,Decreased vascular flow
,severe stenosis,reduction or complete blockage of blood flow,Increase,6.84,14,Draft,Stenosis,Decreased vascular flow
,occlusion of a blood vessel,reduction or complete blockage of blood flow,Increase,6.84,14,Draft,Complete obstruction,Decreased vascular flow
,arterial dissection,ischemic stroke,Increase,6.84,14,Draft,Dissection of artery,Ischemic stroke
,COVID-19,ischemic stroke,Increase,6.84,14,Draft,COVID-19,Ischemic stroke
,fibromuscular dysplasia,ischemic stroke,Increase,6.84,14,Draft,Fibromuscular dysplasia,Ischemic stroke
,vasculitis,ischemic stroke,Increase,6.84,14,Draft,Vasculitis,Ischemic stroke
,Moyamoya disease,ischemic stroke,Increase,6.84,14,Draft,Moyamoya disease,Ischemic stroke
,sickle cell disease arteriopathy,ischemic stroke,Increase,6.84,14,Draft,Sickling disorder due to hemoglobin S,Ischemic stroke
,ischemic stroke,production of reactive oxygen species,Increase,6.84,14,Draft,Ischemic stroke,Visit
,production of reactive oxygen species,DNA damage,Increase,6.84,14,Draft,Visit,DNA damage
,ischemic stroke,loss of brain structural integrity,Increase,6.84,14,Draft,Ischemic stroke,Visit type
,female sex steroids,migraine,Increase,6.84,14,Draft,Female sex hormones - serum level - finding,Migraine
,female sex steroids,COVID-19,Decrease,3.37,14,Draft,Female sex hormones - serum level - finding,COVID-19
,large artery atherosclerosis,ischemic stroke,Increase,6.84,14,Draft,Atherosclerosis,Ischemic stroke
,ageing,DNA damage,Increase,6.84,14,Draft,Age factor,DNA damage
,ageing,migraine,Decrease,6.84,14,Draft,Age factor,Migraine
,ageing,hypertension,Increase,6.84,14,Draft,Age factor,Hypertensive disorder
,production of reactive oxygen species,endothelial dysfunction,Increase,6.84,14,Draft,Visit,Cardiac syndrome X
,hypercholesterolemia,endothelial dysfunction,Increase,6.84,14,Draft,Hypercholesterolemia,Cardiac syndrome X
,smoking,endothelial dysfunction,Increase,6.84,14,Draft,Smoker,Cardiac syndrome X
,diabetes mellitus,endothelial dysfunction,Increase,6.84,14,Draft,Diabetes mellitus,Cardiac syndrome X
,hypertension,endothelial dysfunction,Increase,6.84,14,Draft,Hypertensive disorder,Cardiac syndrome X
"Harrison Internal Med., 2020",Embolism,First Ischemic Stroke,Increase,6.0,16,Final,Embolism,Ischemic stroke_1.0
"Harrison Internal Med., 2020",Thrombosis,First Ischemic Stroke,Increase,4.61,16,Final,Thrombosis,Ischemic stroke_1.0
"Harrison Internal Med., 2020",Lacunes,Thrombosis,Increase,4.61,16,Final,Lacunar infarction,Thrombosis
"Harrison Internal Med., 2020",Atrial Fibrillation,Embolism,Increase,4.61,16,Final,Atrial fibrillation,Embolism
"Harrison Internal Med., 2020",Atherosclerosis,Thrombosis,Increase,4.61,16,Final,Atherosclerosis,Thrombosis
"Harrison Internal Med., 2020",Male Sex,Atherosclerosis,Increase,4.61,16,Final,Male,Atherosclerosis
"Harrison Internal Med., 2020",Age,Atherosclerosis,Increase,4.61,16,Final,Age factor,Atherosclerosis
"Harrison Internal Med., 2020",Smoking,Atherosclerosis,Increase,4.61,16,Final,Smoker,Atherosclerosis
"Harrison Internal Med., 2020",Diabetes,Atherosclerosis,Increase,4.61,16,Final,Diabetes mellitus,Atherosclerosis
"Harrison Internal Med., 2020",Dyslipidemia,Atherosclerosis,Increase,4.0,16,Final,Dyslipidemia,Atherosclerosis
